location,flyway,geo_region_na
Vermont,Atlantic Flyway,Northeast
Connecticut,Atlantic Flyway,Northeast
Delaware,Atlantic Flyway,South
Florida,Atlantic Flyway,South
Georgia,Atlantic Flyway,South
Maine,Atlantic Flyway,Northeast
Maryland,Atlantic Flyway,South
Massachusetts,Atlantic Flyway,Northeast
New Hampshire,Atlantic Flyway,Northeast
New York,Atlantic Flyway,Northeast
New Jersey,Atlantic Flyway,Northeast
Pennsylvania,Atlantic Flyway,Northeast
North Carolina,Atlantic Flyway,South
South Carolina,Atlantic Flyway,South
Rhode Island,Atlantic Flyway,Northeast
Virginia,Atlantic Flyway,South
West Virginia,Atlantic Flyway,South
Newfoundland,Atlantic Flyway,Canada
New Brunswick,Atlantic Flyway,Canada
Nova Scotia,Atlantic Flyway,Canada
Ontario,Atlantic Flyway,Canada
Prince Edward Island,Atlantic Flyway,Canada
Quebec,Atlantic Flyway,Canada
Louisiana,Mississippi Flyway,South
Mississippi,Mississippi Flyway,South
Arkansas,Mississippi Flyway,South
Tennessee,Mississippi Flyway,South
Kentucky,Mississippi Flyway,South
Missouri,Mississippi Flyway,Midwest
Illinois,Mississippi Flyway,Midwest
Indiana,Mississippi Flyway,Midwest
Iowa,Mississippi Flyway,Midwest
Wisconsin,Mississippi Flyway,Midwest
Minnesota,Mississippi Flyway,Midwest
Alabama,Mississippi Flyway,South
Michigan,Mississippi Flyway,Midwest
Ohio,Mississippi Flyway,Midwest
Manitoba,Mississippi Flyway,Canada
Montana,Central Flyway,West
Wyoming,Central Flyway,West
Colorado,Central Flyway,West
North Dakota,Central Flyway,Midwest
South Dakota,Central Flyway,Midwest
Nebraska,Central Flyway,Midwest
Kansas,Central Flyway,Midwest
Oklahoma,Central Flyway,South
Texas,Central Flyway,South
New Mexico,Central Flyway,West
Alberta,Central Flyway,Canada
Saskatchewan,Central Flyway,Canada
Alaska,Pacific Flyway,West
Hawaii,Pacific Flyway,West
Washington,Pacific Flyway,West
Oregon,Pacific Flyway,West
California,Pacific Flyway,West
Nevada,Pacific Flyway,West
Arizona,Pacific Flyway,West
Utah,Pacific Flyway,West
Idaho,Pacific Flyway,West
British Columbia,Pacific Flyway,Canada
Honduras,Central Flyway,Central America
Costa Rica,Central Flyway,Central America
Panama,Central Flyway,Central America
